Could you very sweetly {to do smt}?,Можешь быть любезен сделать
it is all the explanation you are going to get.,"Это все объяснение, которое вы получите"
I suppose I could,думаю я мог бы
"a very long time ago now, about last Friday","очень давно, примерно в прошлую пятницу"
live all by himself,живет совсем один
to be out walking,гулять
he sang a song. It went like this:,"Он пел песню, она звучала так:"
I wonder if you've got such a thing as a balloon about you?,"Интересно, у тебя есть что-то вроде воздушного шара?"
What do you want a balloon for?,Для чего тебе нужен шар?
deep whisper,тихий шопот
deceive,обмануть
"just in case, as you always did","на всякий случай, как всегда"
anxiously,обеспокоенно
Perhaps they think that you're after their honey?,"Возможно они думают, что ты (пришел) за их медом?"
you were so fond of him,ты испытывал к нему теплые чувства
spoil,портить
"{name}, known to his friends  as  {surename}",{имя} известный так де друзьям как {прозвище}
humming proudly to himself,гордо напевая про себя
learnt it off by heart,выучить наизусть
leap forward,скачек вперед (к пониманию)
to took some reciprocal action,предпринять какие-то ответные действия
to gain considerable influence,получить значительное влияние
treatment,лечение
bizarre,"странный, эксцентричный"
sought treatment,обращатся за лечением
went through surgery,перенести операцию
insist,настаивать
an elaborate ruse,продуманная хитрость
significant,значительный
according to {smo},по словам {кого-то}
You needn't shout so loud.,Тебе незачем кричать так громно
"It all comes, of {smt doing}",Это все от {деланья чего-то}
controversial,Спорный
look after,Присматривать
is shaped like,имеет форму
learn of,Узнать
